01:58:27.528 [INFO] (Telemetry) [CONFIG] HoldOnVoluntarySubmission=60
01:58:27.529 [INFO] (Telemetry) [CONFIG] HoldOnDesperateSubmission=45
01:58:27.529 [INFO] (Telemetry) [CONFIG] DefectionLosingScore=20
01:58:27.529 [INFO] (Telemetry) [CONFIG] HoldAfterFailedRevolt=20
01:58:27.529 [INFO] (Telemetry) [CONFIG] HoldDefault=40
01:58:27.529 [INFO] (Telemetry) [CONFIG] HoldDriftPerDay=1
01:58:27.529 [INFO] (Telemetry) [CONFIG] HoldBase=40
01:58:27.529 [INFO] (Telemetry) [CONFIG] HoldStrengthWeight=25
01:58:27.529 [INFO] (Telemetry) [CONFIG] HoldProtectionWeight=20
01:58:27.529 [INFO] (Telemetry) [CONFIG] HoldTrustWeight=15
01:58:27.530 [INFO] (Telemetry) [CONFIG] HoldTributeBurdenWeight=20
01:58:27.530 [INFO] (Telemetry) [CONFIG] HoldWarBurdenWeight=15
01:58:27.530 [INFO] (Telemetry) [CONFIG] HoldRivalWeight=25
01:58:27.530 [INFO] (Telemetry) [CONFIG] HoldCultureMismatchWeight=10
01:58:27.530 [INFO] (Telemetry) [CONFIG] HoldTributePerFiefForFullBurden=200
01:58:27.530 [INFO] (Telemetry) [CONFIG] HoldWarBurdenSaturation=3
01:58:27.530 [INFO] (Telemetry) [CONFIG] HoldRenewThreshold=70
01:58:27.530 [INFO] (Telemetry) [CONFIG] HoldPassiveResistanceThreshold=40
01:58:27.531 [INFO] (Telemetry) [CONFIG] HoldDefianceThreshold=30
01:58:27.531 [INFO] (Telemetry) [CONFIG] HoldSecessionThreshold=15
01:58:27.531 [INFO] (Telemetry) [CONFIG] SecessionCapabilityWeight=15
01:58:27.531 [INFO] (Telemetry) [CONFIG] SecessionDaysBelowThreshold=30
01:58:27.531 [INFO] (Telemetry) [CONFIG] DefianceMarksToLapse=2
01:58:27.531 [INFO] (Telemetry) [CONFIG] DefianceMarkMemoryDays=84
01:58:27.531 [INFO] (Telemetry) [CONFIG] SecessionContagionHold=10
01:58:27.531 [INFO] (Telemetry) [CONFIG] HoldLostToImposedPeace=12
01:58:27.531 [INFO] (Telemetry) [CONFIG] RevoltJoinBelowHold=25
01:58:27.532 [INFO] (Telemetry) [CONFIG] TributeWithheldMarkIntervalDays=28
01:58:27.532 [INFO] (Telemetry) [CONFIG] PoachingTrustCost=-30
01:58:27.532 [INFO] (Telemetry) [CONFIG] PoachingRelationLoss=15
01:58:27.532 [INFO] (Telemetry) [CONFIG] PoachableBelowHold=40
01:58:27.532 [INFO] (Telemetry) [CONFIG] HegemonyCollapseGraceYears=2
01:58:27.532 [INFO] (Telemetry) [CONFIG] AiSubmissionThreshold=50
01:58:27.533 [INFO] (Telemetry) [CONFIG] PlayerOfferRefusalCooldownDays=42
01:58:27.533 [INFO] (Telemetry) [CONFIG] SubmissionThreatWeight=25
01:58:27.533 [INFO] (Telemetry) [CONFIG] SubmissionReachWeight=40
01:58:27.533 [INFO] (Telemetry) [CONFIG] SubmissionWearinessWeight=30
01:58:27.533 [INFO] (Telemetry) [CONFIG] SubmissionTrustWeight=20
01:58:27.533 [INFO] (Telemetry) [CONFIG] SubmissionPrideWeight=50
01:58:27.533 [INFO] (Telemetry) [CONFIG] SubmissionCultureWeight=20
01:58:27.533 [INFO] (Telemetry) [CONFIG] SubmissionToEnemyPenalty=10
01:58:27.533 [INFO] (Telemetry) [CONFIG] VassalExcusedAboveExhaustion=50
01:58:27.533 [INFO] (Telemetry) [CONFIG] StrengthSmoothingDays=84
01:58:27.534 [INFO] (Telemetry) [CONFIG] AmbitionFullAtDominance=2.5
